Nivel_Academico,Pais,Promedio_Horas_Uso_Diario,Plataforma_Mas_Usada,Afecta_Rendimiento_Academico,Horas_Sueño_Por_Noche,Puntaje_Salud_Mental,Puntaje_Adiccion
Graduate,India,2.1,Twitter,No,7.5,8,3
Undergraduate,USA,6.0,TikTok,Yes,5.0,5,9
Graduate,Canada,4.5,Facebook,Yes,6.0,6,7
Undergraduate,India,5.8,TikTok,Yes,5.9,6,7
Undergraduate,India,5.7,Instagram,Yes,6.1,6,7
Graduate,India,5.8,Instagram,Yes,5.8,6,7
Graduate,India,5.6,Instagram,Yes,5.6,6,7
Undergraduate,India,5.4,Instagram,Yes,5.4,6,7
Graduate,India,5.2,Instagram,Yes,5.2,6,7
Undergraduate,India,5.0,Instagram,Yes,5.0,6,7
Graduate,India,4.8,Instagram,Yes,4.8,6,7
Undergraduate,India,4.6,Instagram,Yes,4.6,6,7
Graduate,India,4.8,Facebook,No,7.2,7,6
Graduate,India,5.2,Facebook,No,7.1,7,6
Graduate,India,5.1,Facebook,No,7.4,7,6
Graduate,India,5.0,Facebook,No,7.6,7,6
Graduate,India,4.9,Facebook,No,7.8,7,6
Graduate,India,4.8,Facebook,No,8.0,7,6
Graduate,India,4.7,Facebook,No,8.2,7,6
Graduate,India,4.6,Facebook,No,8.4,7,6
Graduate,India,4.5,Facebook,No,8.6,7,6
Graduate,India,4.4,Facebook,No,8.8,7,6
Undergraduate,USA,6.5,Instagram,Yes,6.0,5,9
Undergraduate,USA,7.0,TikTok,Yes,5.8,4,9
Undergraduate,USA,6.8,Instagram,Yes,5.9,4,9
Undergraduate,USA,6.9,TikTok,Yes,5.7,4,9
Undergraduate,USA,6.7,Instagram,Yes,5.8,4,9
Undergraduate,USA,6.6,TikTok,Yes,5.6,4,9
Undergraduate,USA,6.4,Instagram,Yes,5.7,4,9
Undergraduate,USA,6.6,TikTok,Yes,5.5,4,9
Undergraduate,USA,6.7,Instagram,Yes,5.4,4,9
Undergraduate,USA,6.8,TikTok,Yes,5.3,4,9
Undergraduate,USA,6.9,Instagram,Yes,5.2,4,9
Undergraduate,USA,7.0,TikTok,Yes,5.1,4,9
Undergraduate,USA,7.1,Instagram,Yes,5.0,4,9
Graduate,India,5.8,WhatsApp,Yes,6.5,5,8
Undergraduate,USA,6.8,TikTok,Yes,5.5,5,9
Graduate,Canada,5.3,Instagram,Yes,6.9,6,7
Graduate,India,5.9,WhatsApp,Yes,6.4,5,8
Undergraduate,USA,6.9,Instagram,Yes,5.4,5,9
Graduate,Canada,5.2,TikTok,Yes,7.0,6,7
Graduate,India,6.0,WhatsApp,Yes,6.3,5,8
Undergraduate,USA,7.0,TikTok,Yes,5.3,5,9
Graduate,Canada,5.1,Instagram,Yes,7.1,6,7
Graduate,India,6.1,WhatsApp,Yes,6.2,5,8
Undergraduate,USA,7.1,Instagram,Yes,5.2,5,9
Graduate,Canada,5.0,TikTok,Yes,7.2,6,7
Graduate,India,6.2,WhatsApp,Yes,6.1,5,8
Undergraduate,USA,7.2,TikTok,Yes,5.1,5,9
Graduate,Canada,4.9,Instagram,Yes,7.3,6,7
Graduate,India,6.3,WhatsApp,Yes,6.0,5,8
Undergraduate,USA,7.3,Instagram,Yes,5.0,5,9
Graduate,Canada,4.8,TikTok,Yes,7.4,6,7
Graduate,India,6.4,WhatsApp,Yes,5.9,5,8
Undergraduate,USA,7.4,TikTok,Yes,4.9,5,9
Graduate,Canada,4.7,Instagram,Yes,7.5,6,7
Graduate,India,6.5,WhatsApp,Yes,5.8,5,8
Undergraduate,USA,7.5,Instagram,Yes,4.8,5,9
Graduate,Canada,4.6,TikTok,Yes,7.6,6,7
Graduate,India,6.6,WhatsApp,Yes,5.7,5,8
Undergraduate,USA,7.6,TikTok,Yes,4.7,5,9
Graduate,Canada,4.5,Instagram,Yes,7.7,6,7
Graduate,India,6.7,WhatsApp,Yes,5.6,5,8
Undergraduate,USA,7.7,Instagram,Yes,4.6,5,9
Graduate,Canada,4.4,TikTok,Yes,7.8,6,7
Graduate,India,6.8,WhatsApp,Yes,5.5,5,8
Undergraduate,USA,7.8,TikTok,Yes,4.5,5,9
Graduate,Canada,4.3,Instagram,Yes,7.9,6,7
Graduate,India,6.9,WhatsApp,Yes,5.4,5,8
Undergraduate,USA,7.9,Instagram,Yes,4.4,5,9
Graduate,Canada,4.2,TikTok,Yes,8.0,6,7
Graduate,India,7.0,WhatsApp,Yes,5.3,5,8
Undergraduate,USA,8.0,TikTok,Yes,4.3,5,9
Graduate,Canada,4.1,Instagram,Yes,8.1,6,7
Graduate,India,7.1,WhatsApp,Yes,5.2,5,8
Undergraduate,USA,8.1,Instagram,Yes,4.2,5,9
Graduate,Canada,4.0,TikTok,Yes,8.2,6,7
Graduate,India,7.2,WhatsApp,Yes,5.1,5,8
Undergraduate,USA,8.2,TikTok,Yes,4.1,5,9
Graduate,Canada,3.9,Instagram,Yes,8.3,6,7
Graduate,India,7.3,WhatsApp,Yes,5.0,5,8
Undergraduate,USA,8.3,Instagram,Yes,4.0,5,9
Graduate,Canada,3.8,TikTok,Yes,8.4,6,7
Graduate,India,7.4,WhatsApp,Yes,4.9,5,8
Undergraduate,USA,8.4,TikTok,Yes,3.9,5,9
Graduate,Canada,3.7,Instagram,Yes,8.5,6,7
Graduate,India,7.5,WhatsApp,Yes,4.8,5,8
Undergraduate,USA,8.5,Instagram,Yes,3.8,5,9
Graduate,Canada,3.6,TikTok,Yes,8.6,6,7
Undergraduate,India,6.8,WhatsApp,Yes,6.0,5,8
Graduate,Canada,4.8,Instagram,Yes,7.4,7,6
Undergraduate,India,6.9,WhatsApp,Yes,5.9,5,8
Graduate,Canada,4.7,TikTok,Yes,7.5,7,6
Undergraduate,India,7.0,WhatsApp,Yes,5.8,5,8
Graduate,Canada,4.6,Instagram,Yes,7.6,7,6
Undergraduate,India,7.1,WhatsApp,Yes,5.7,5,8
Graduate,Canada,4.5,TikTok,Yes,7.7,7,6
Undergraduate,India,7.2,WhatsApp,Yes,5.6,5,8
Graduate,Canada,4.4,Instagram,Yes,7.8,7,6
Undergraduate,India,7.3,WhatsApp,Yes,5.5,5,8
Graduate,Canada,4.3,TikTok,Yes,7.9,7,6
Undergraduate,India,7.4,WhatsApp,Yes,5.4,5,8
Graduate,Canada,4.2,Instagram,Yes,8.0,7,6
Graduate,India,7.2,Facebook,Yes,5.9,4,9
Undergraduate,USA,5.9,Instagram,Yes,6.7,6,7
Graduate,Canada,5.2,Instagram,Yes,7.0,6,6
Undergraduate,India,7.0,Instagram,Yes,5.8,4,9
Graduate,USA,5.6,Instagram,Yes,6.9,6,7
Graduate,Canada,4.9,TikTok,No,7.3,7,5
Undergraduate,India,7.1,Facebook,Yes,5.7,4,9
Graduate,USA,5.4,Instagram,Yes,6.9,6,7
Undergraduate,Canada,5.7,Instagram,Yes,6.7,6,7
Graduate,India,7.0,TikTok,Yes,5.8,4,9
Undergraduate,USA,5.5,Twitter,Yes,6.8,6,7
Graduate,Canada,5.6,TikTok,Yes,6.7,6,7
Undergraduate,India,7.2,TikTok,Yes,5.7,4,9
Graduate,USA,5.3,Twitter,Yes,6.8,6,7
Graduate,Canada,5.7,TikTok,Yes,6.6,6,7
